"","(Intercept)","Slant_CatBalanced","Slant_CatLeft","Slant_CatRight","Slant_CatSlight left","Slant_CatSlight right"
"B",-0.906702459423595,-0.386451054918746,-0.0558998195122264,-0.309829552358667,0.055069232355239,0.0249803962686977
"E",-1.72599326821202,0.083917895641033,0.556134726775678,1.09158326900276,0.465616546717346,0.930519644990718
"I",-1.55928977252542,-0.212367848257067,0.156845681515442,0.147151789147687,0.136477076903431,0.464410074419031
"O",-1.80908741803868,-0.25931135220394,-0.557029210315546,-0.683111683202619,-0.149601064204094,0.133058554810153
"P",-1.72725866467719,-0.152768849983833,0.0706000051830844,0.15410995201502,0.130630036497005,0.512603160616673
"PH",-2.56466367568639,0.0962507241682039,0.51396192464196,0.958355947395755,0.304150360868512,1.18438022987165
"PS",-1.47348763504733,-0.282740181974534,-0.148912101290626,-0.279131897552513,0.00838143836160096,0.226856172397198
"S",-1.91629807219496,-0.0905117800634533,0.0980763718395404,0.275632697457501,0.154672644257818,0.629759698516591
